,Name,Location,Contact,Type
0,Executive Barber Shop,"20 NW 4th St C, Evansville, IN 47708",18124239080,Barber Shop
1,Roxie's Barbershop & Beauty Salon,"905 Washington Ave, Evansville, IN 47713",18124913255,Barber Shop
2,Shark's Den Barber Shop,"765 Lincoln Ave, Evansville, IN 47713",18124842603,Barber Shop
3,Good Fellas Barber Shop,"2730 Mt Vernon Ave, Evansville, IN 47712",18124240255,Barber Shop
4,Eddie Geis's Barber & Beauty Shop,"414 S Barker Ave, Evansville, IN 47712",18124801309,Barber Shop
5,Brother's Clip Joint,"302 N Tekoppel Ave, Evansville, IN 47712",18124229538,Barber Shop
6,Harmony House Barber Shop,"1629 Harmony Way, Evansville, IN 47720",No Contact,Barber Shop
7,"The Hill Salon and Barber Shop
5.0
(18)","1030 Harmony Way, Evansville, IN 47720",18125685613,Hair Salon
8,Fast Eddie's Style Shop,"1614 S Kentucky Ave, Evansville, IN 47714",18124245982,Barber Shop
9,Jerald's Greatest Hair Stylists in the World,"1337 E Walnut St, Evansville, IN 47714",18124262616,Barber Shop
10,Mike's Barber Shop,"417 N Weinbach Ave Suite 102, Evansville, IN 47711",18124777711,Barber Shop
11,The Dapper Man's Parlor,"2014 E Morgan Ave Suite B, Evansville, IN 47711",18123032231,Barber Shop
12,stay wet entertainment & promotions,"783 Washington Ave, Evansville, IN 47713",18122057142,Business management consultant
13,Dwyer Forestry Consulting,"7623 Rock Creek Ln, Evansville, IN 47711",18128681114,Business management consultant
14,Avery Business Consultants,"Evansville, IN",18125891940,Consultant
15,SM&B Business Consulting L.L.C.,"Evansville, IN",12702120478,Business management consultant
16,Yash Solutions Inc.,"3311 County Rd 600 W, Newburgh, IN 47630",18124579792,Business management consultant
17,The Mau Corporation,,16183548327,Non-profit organization
18,Project Trans Friends,,18122005079,Non-profit organization
19,Public Education Foundation,"100 NW 2nd St #120, Evansville, IN 47708",18124221699,Non-profit organization
20,Thomas A. & Sharon K. Ruder Foundation,"3000 E Morgan Ave STE C, Evansville, IN 47711",18124706045,Non-profit organization
21,CommonCents,,,Non-profit organization
22,IEC Southern Indiana Chapter,"13124 St Wendel Rd, Evansville, IN 47720",18129638261,Non-profit organization
23,Robert Lee Blaffer Foundation,"421 North St, New Harmony, IN 47631",,Non-profit organization
24,Tribuquent Corporation,,17087428700,Non-profit organization
25,Garden of Peace,,18122054987,Non-profit organization
26,Community Worship Arts Inc,"4016 Oxmoor Rd, Evansville, IN 47715",18124530631,Non-profit organization
27,H.E.L.P. of Southern Indiana,"223 NW 2nd St #310, Evansville, IN 47708",18124576535,Non-profit organization
28,Military With PTSD,"815 John St Suite 210 B, Evansville, IN 47713",18126185443,Non-profit organization
29,Boonville Church of the Nazarene,"323 S 4th St, Boonville, IN 47601",18128970591,Church of the Nazarene
30,Faith Church of the Nazarene,"519 E Olmstead Ave, Evansville, IN 47711",18124246153,Church of the Nazarene
31,Church of the Nazarene King,"319 S 7th St, Boonville, IN 47601",18128974781,Church of the Nazarene
32,Newburgh Church of the Nazarene,"11 W Gray St, Newburgh, IN 47630","11 W Gray St, Newburgh, IN 47630",Church of the Nazarene
33,First Church of the Nazarene,"218 W 7th St, Mt Carmel, IL 62863",16182625778,Church of the Nazarene
34,Church of the Nazarene United,"1015 Sand Ln, Henderson, KY 42420",12708262038,Church of the Nazarene
35,Faith Community Church of the Nazarene,"304 N Jackson St, Huntingburg, IN 47542",18126833527,Church of the Nazarene
36,Haitian Beacon Church of the Nazarene,"3313 Covert Ave, Evansville, IN 47714",18123034267,Church of the Nazarene
37,"Point Township Church of the Nazarene
","12611 Bonebank Rd, Mt Vernon, IN 47620",18128385182,Church of the Nazarene
38,Grandview Church of The Nazarene,"318 Church St, Grandview, IN 47615",,Church of the Nazarene
39,Rockport Church-The Nazarene,"719 N 7th St, Rockport, IN 47635",18126494453,Church of the Nazarene
40,Mackey Salem Church,"9705 E Main St, Mackey, IN 47654",18127952215,
41,Trinity United Methodist Church,"410 S Madison St, Oakland City, IN 47660",13038391493,
42,Good Shepherd United Methodist,"210 W Harrison St, Oakland City, IN 47660",18127493525,
43,New Jerusalem United Methodist Church,"125 1st St, Elberfeld, IN 47613",18126862347,
44,Massey Law Offices LLC Attorneys at Law,"915 Main St, Evansville, IN 47708",18124919333,Attorney
45,Michelle Agostino Cox Attorney,"318 Main St, Evansville, IN 47708",18124139782,Attorney
46,"Basin Law Group
","508 Main St, Evansville, IN 47708",18124211800,Attorney
47,Trimble & Jewell,"706 Court St, Evansville, IN 47708",18124231169,Attorney
48,Miller Verdelski V,"329 Main St, Evansville, IN 47708",18124259170,Attorney
49,Royal Inc,"1208 W Florida St, Evansville, IN 47710",18126181002,Laundromat
50,Victory Laundry,"163 S Third Ave, Evansville, IN 47708",18885623623,Laundromat
51,Laundromat,"508 Watson Ln, Henderson, KY 42420",,Laundromat
52,ENS,"356 Race Track Rd lot # 24, Henderson, KY 42420",12709574033,Metal Finisher
53,"Cardinal Metal Finishing, Llc","1425 S Curry Pike, Bloomington, IN 47403",,Metal Polishing
54,RPG Polishing,"1315 Mt Auburn Rd, Evansville, IN 47720",18127460078,Metal Polishing
55,Hard Chrome,"510 Dresden St, Evansville, IN 47710",18124222356,Metal Polishing
56,Shelburn Metal & Fabrication,"205 E Co Rd 625 N, Shelburn, IN 47879",18122014727,Metal Polishing
57,Metal Finishing Co Inc,"3901 E 26th St, Indianapolis, IN 46218",13175469004,Metal Polishing
58,"Thriftique
","1651 Lincoln Ave, Evansville, IN 47714",18124997446,Thrift Store
59,FAVORITE PURCHASES,,18128508611,Thrift Store
60,World Wide Missions Consignment Store,"301 N Congress Ave, Evansville, IN 47715",18124713466,Thrift Store
61,Mystery Finds Resale Shop!,,18122587682,Thrift Store
62,American Pride Thrift Store and more,"2346 Washington Ave, Evansville, IN 47714",18122281150,Thrift Store
63,AbyssCo,"4597 Washington Ave, Evansville, IN 47715",18124916661,Thrift Store
64,Re-Style Consignment Boutique,"2800 Lincoln Ave, Evansville, IN 47714",18125680484,Botique
65,Karen's Upscale Resale Furniture,,18124238550,Botique
